Buchungskreis,Marken Name Kurz,Standortname,Slug,Logo Filename,Straße,Hausnummer,PLZ,Stadt,Land Name,Standorttyp Name,Homepage,Breitengrad,Längengrad,Bundesland,Werblicher Anzeige Name,Breitengrad (Komma),Längengrad (Komma),,Statement,Statementgeber,Funktion des Statementgebers,Um wie viel Uhr wird das Licht ausgestellt?,Umsetzung der Maßnahmen bis 15.11.2022?,Unabhängige Umsetzung bereits vor Projekt?
186,G.U.T.,LTW Lufttechnik West KG,ltw-lufttechnik-west-kg,ltw-lufttechnik-west-kg-logo.jpg,Drahtzieherweg,19-21,47877,Willich,Germany,HAUPTHAUS,https://www.gut-gruppe.de/de/unternehmen/ltw-lufttechnik-west/locations/haupthaus-willich,51.261.910.353.429.600,6.526.757.594.056.670,NRW,HAUPTHAUS Willich,"51,26191035","6,526757594",,"Das Licht im Außenbereich früher auszuschalten, ist einfach eine gute Idee. Wenn man etwas darüber nachdenkt, hätte man das schon viel früher machen können. Die Maßnahmen der Kampagne „22 Uhr – Licht aus“ sind sehr sinnvoll und vor allem eines: zeitgemäß. ",Jürgen Windegger,PhG,20 Uhr,Nein,Ab 31.12
186,G.U.T.,LTW Lufttechnik West KG,ltw-lufttechnik-west-kg,,Hülsstraße,7,44625,Herne,Germany,NIEDERLASSUNG,https://www.gut-gruppe.de/de/unternehmen/ltw-lufttechnik-west/locations/niederlassung-herne,51.525.395.915.594.200,7.203.839.505.557.190,NRW,NIEDERLASSUNG Herne,"51,52539592","7,203839506",,"Das Licht im Außenbereich früher auszuschalten, ist einfach eine gute Idee. Wenn man etwas darüber nachdenkt, hätte man das schon viel früher machen können. Die Maßnahmen der Kampagne „22 Uhr – Licht aus“ sind sehr sinnvoll und vor allem eines: zeitgemäß. ",Jürgen Windegger,PhG,20 Uhr,Nein,Ab 31.12
189,G.U.T.,LTW München KG,ltw-muenchen-kg,,Elisabeth-Selbert-Straße,7,80939,München,Germany,HAUPTHAUS,https://www.gut-gruppe.de/unternehmen/ltw-lufttechnik-west/standorte/niederlassung-muenchen,48.195.260.036.659.700,11.592.909.241.733.500,BY,NIEDERLASSUNG München,"48,19526004","11,59290924",,Sinnvoll.,Jürgen Windegger,PhG,20 Uhr,Nein,Ab 31.12
85,G.U.T.,G.U.T. Glaser KG,gut-glaser-kg,gut-glaser-kg-logo.jpg,Harpener Feld,8,44805,Bochum,Germany,HAUPTHAUS,https://www.gut-gruppe.de/de/unternehmen/glaser/locations/haupthaus-bochum,51.499.803.321.114.100,51.499.803.321.114.100,NRW,HAUPTHAUS Bochum,"51,49980332","7,261736356",,"Es ist uns eine Herzensangelegenheit, alles uns Mögliche zu tun, unseren Kindern eine grüne und lebenswerte Erde zu hinterlassen. Dieses Projekt motiviert, denn hier kann wirklich jeder durch kleine Maßnahmen mitwirken und G.U.T.es tun – auch für den Tierschutz. ",Stefan,PhG,18 Uhr,Ja,Ja
85,G.U.T.,G.U.T. Glaser KG,gut-glaser-kg,,Harpener Feld,8,44805,Bochum,Germany,ABEX,https://www.gut-gruppe.de/de/unternehmen/glaser/locations/abex-bochum-harpener-feld,51.499.950.256.376.000,7.261.747.084.655.780,NRW,ABEX Bochum / Harpener Feld,"51,49995026","7,261747085",,"Es ist uns eine Herzensangelegenheit, alles uns Mögliche zu tun, unseren Kindern eine grüne und lebenswerte Erde zu hinterlassen. Dieses Projekt motiviert, denn hier kann wirklich jeder durch kleine Maßnahmen mitwirken und G.U.T.es tun – auch für den Tierschutz. ",Stefan,PhG,18 Uhr,Ja,Ja
85,G.U.T.,G.U.T. Glaser KG,gut-glaser-kg,,Gewerbestraße,13,44866,Bochum,Germany,ABEX,https://www.gut-gruppe.de/de/unternehmen/glaser/locations/abex-bochum-gewerbestrasse,51.488.077.400.000.000,"5,15E+16",NRW,ABEX Bochum / Gewerbestraße,"51,4880774","7,1613479",,"Es ist uns eine Herzensangelegenheit, alles uns Mögliche zu tun, unseren Kindern eine grüne und lebenswerte Erde zu hinterlassen. Dieses Projekt motiviert, denn hier kann wirklich jeder durch kleine Maßnahmen mitwirken und G.U.T.es tun – auch für den Tierschutz. ",Stefan,PhG,18 Uhr,Ja,Ja
83,G.U.T.,G.U.T. Nordrhein KG,gut-nordrhein-kg,,Bonner Str.,357-359,40589,Düsseldorf,Germany,ABEX,https://www.gut-gruppe.de/de/unternehmen/nordrhein/locations/abex-duesseldorf-bonner-str,51.163.082.900.000.000,6.852.640.800.000.000,NRW,ABEX Düsseldorf / Bonner Str.,"51,1630829","6,8526408",,"Nicht laut und pompös sein, sondern sich in Bescheidenheit üben. So kann man auch seinen Anteil im Kampf gegen die Energiekrise leisten. Wir sind gerne dabei.   ",Bernd Münch,PhG,20 Uhr,Ja,Ja
83,G.U.T.,G.U.T. Nordrhein KG,gut-nordrhein-kg,gut-nordrhein-kg-logo.jpg,Bonner Str.,357-359,40589,Düsseldorf,Germany,HAUPTHAUS,https://www.gut-gruppe.de/de/unternehmen/nordrhein,51.163.082.900.000.000,6.852.640.800.000.000,NRW,HAUPTHAUS Düsseldorf,"51,1630829","6,8526408",,"Nicht laut und pompös sein, sondern sich in Bescheidenheit üben. So kann man auch seinen Anteil im Kampf gegen die Energiekrise leisten. Wir sind gerne dabei.   ",Bernd Münch,PhG,20 Uhr,Ja,Ja
926,G.U.T.,G.U.T. LIEDELT & SCHWANBECK KG,gut-liedelt-schwanbeck-kg,,Niendorfer Str.,179,22848,Norderstedt,Germany,ABEX,https://www.gut-gruppe.de/unternehmen/liedelt-schwanbeck/standorte/abex-norderstedt-niendorfer-str,53.659.001.337.682.700,9.980.831.868.786.590,SH,ABEX Norderstedt / Niendorfer Str.,"53,65900134","9,980831869",,"Wir machen das Licht aus, weil es nicht einfacher sein kann, seinen Beitrag für weniger Lichtverschmutzung zu leisten – ohne selbst Einschränkungen zu haben. Beleuchtung ist für mittlerweile 20% des globalen Energieverbrauchs verantwortlich. Das ist enorm. Auch wir möchten ein Zeichen setzen und jeden zum Mitmachen motivieren. ",Tobias Grewe,PhG,20 Uhr,Ja,Ja
926,G.U.T.,G.U.T. LIEDELT & SCHWANBECK KG,gut-liedelt-schwanbeck-kg,gut-liedelt-schwanbeck-kg-logo.jpg,Niendorfer Str.,179,22848,Norderstedt,Germany,HAUPTHAUS,https://www.gut-gruppe.de/unternehmen/liedelt-schwanbeck/standorte/haupthaus-norderstedt,53.659.014.053.276.700,9.980.810.411.114.470,SH,HAUPTHAUS Norderstedt,"53,65901405","9,980810411",,"Wir machen das Licht aus, weil es nicht einfacher sein kann, seinen Beitrag für weniger Lichtverschmutzung zu leisten – ohne selbst Einschränkungen zu haben. Beleuchtung ist für mittlerweile 20% des globalen Energieverbrauchs verantwortlich. Das ist enorm. Auch wir möchten ein Zeichen setzen und jeden zum Mitmachen motivieren. ",Tobias Grewe,PhG,20 Uhr,Ja,Ja
